,Year,State Code,Region,White Convicted,Other Convicted,Executions,Executions Scaled,State
191,1999,NV,West,0,1,1,1.0,Nevada
192,1999,OH,Midwest,1,0,1,1.0,Ohio
193,1999,OK,South,3,3,6,2.791759469228055,Oklahoma
194,1999,PA,Northeast,1,0,1,1.0,Pennsylvania
195,1999,SC,South,2,2,4,2.386294361119891,South Carolina
196,1999,TX,South,17,18,35,4.555348061489413,Texas
197,1999,UT,West,1,0,1,1.0,Utah
198,1999,VA,South,8,6,14,3.6390573296152584,Virginia
199,2000,AL,South,1,3,4,2.386294361119891,Alabama
200,2000,AR,South,1,1,2,1.6931471805599454,Arkansas
201,2000,AZ,West,3,0,3,2.09861228866811,Arizona
202,2000,CA,West,0,1,1,1.0,California
203,2000,DE,South,0,1,1,1.0,Delaware
204,2000,FL,South,4,2,6,2.791759469228055,Florida
205,2000,LA,South,0,1,1,1.0,Louisiana
206,2000,MO,Midwest,4,1,5,2.6094379124341005,Missouri
207,2000,NC,South,0,1,1,1.0,North Carolina
208,2000,OK,South,4,7,11,3.3978952727983707,Oklahoma
209,2000,SC,South,0,1,1,1.0,South Carolina
210,2000,TN,South,1,0,1,1.0,Tennessee
211,2000,TX,South,19,21,40,4.688879454113936,Texas
212,2000,VA,South,5,3,8,3.0794415416798357,Virginia
213,2001,AR,South,1,0,1,1.0,Arkansas
214,2001,CA,West,1,0,1,1.0,California
215,2001,DE,South,1,1,2,1.6931471805599454,Delaware
216,2001,FE,Federal,1,1,2,1.6931471805599454,Federal
217,2001,FL,South,1,0,1,1.0,Florida
218,2001,GA,South,3,1,4,2.386294361119891,Georgia
219,2001,IN,Midwest,2,0,2,1.6931471805599454,Indiana
220,2001,MO,Midwest,4,3,7,2.9459101490553135,Missouri
221,2001,NC,South,3,2,5,2.6094379124341005,North Carolina
222,2001,NM,West,1,0,1,1.0,New Mexico
223,2001,NV,West,1,0,1,1.0,Nevada
224,2001,OH,Midwest,0,1,1,1.0,Ohio
225,2001,OK,South,11,7,18,3.8903717578961645,Oklahoma
226,2001,TX,South,10,7,17,3.833213344056216,Texas
227,2001,VA,South,2,0,2,1.6931471805599454,Virginia
228,2001,WA,West,1,0,1,1.0,Washington
229,2002,AL,South,2,0,2,1.6931471805599454,Alabama
230,2002,CA,West,1,0,1,1.0,California
231,2002,FL,South,1,2,3,2.09861228866811,Florida
232,2002,GA,South,4,0,4,2.386294361119891,Georgia
233,2002,LA,South,1,0,1,1.0,Louisiana
234,2002,MO,Midwest,5,1,6,2.791759469228055,Missouri
235,2002,MS,South,2,0,2,1.6931471805599454,Mississippi
236,2002,NC,South,1,1,2,1.6931471805599454,North Carolina
237,2002,OH,Midwest,2,1,3,2.09861228866811,Ohio
238,2002,OK,South,6,1,7,2.9459101490553135,Oklahoma
239,2002,SC,South,2,1,3,2.09861228866811,South Carolina
240,2002,TX,South,17,16,33,4.49650756146648,Texas
241,2002,VA,South,2,2,4,2.386294361119891,Virginia
242,2003,AL,South,3,0,3,2.09861228866811,Alabama
243,2003,AR,South,0,1,1,1.0,Arkansas
244,2003,FE,Federal,0,1,1,1.0,Federal
245,2003,FL,South,2,1,3,2.09861228866811,Florida
246,2003,GA,South,3,0,3,2.09861228866811,Georgia
247,2003,IN,Midwest,2,0,2,1.6931471805599454,Indiana
248,2003,MO,Midwest,2,0,2,1.6931471805599454,Missouri
249,2003,NC,South,3,4,7,2.9459101490553135,North Carolina
250,2003,OH,Midwest,2,1,3,2.09861228866811,Ohio
251,2003,OK,South,8,6,14,3.6390573296152584,Oklahoma
252,2003,TX,South,14,10,24,4.178053830347945,Texas
253,2003,VA,South,2,0,2,1.6931471805599454,Virginia
254,2004,AL,South,2,0,2,1.6931471805599454,Alabama
255,2004,AR,South,0,1,1,1.0,Arkansas
256,2004,FL,South,1,1,2,1.6931471805599454,Florida
257,2004,GA,South,2,0,2,1.6931471805599454,Georgia
258,2004,MD,South,1,0,1,1.0,Maryland
259,2004,NC,South,3,1,4,2.386294361119891,North Carolina
260,2004,NV,West,2,0,2,1.6931471805599454,Nevada
261,2004,OH,Midwest,5,2,7,2.9459101490553135,Ohio
262,2004,OK,South,4,2,6,2.791759469228055,Oklahoma
263,2004,SC,South,4,0,4,2.386294361119891,South Carolina
264,2004,TX,South,8,15,23,4.13549421592915,Texas
265,2004,VA,South,4,1,5,2.6094379124341005,Virginia
266,2005,AL,South,4,0,4,2.386294361119891,Alabama
267,2005,AR,South,1,0,1,1.0,Arkansas
268,2005,CA,West,1,1,2,1.6931471805599454,California
269,2005,CT,Northeast,1,0,1,1.0,Connecticut
270,2005,DE,South,1,0,1,1.0,Delaware
271,2005,FL,South,1,0,1,1.0,Florida
272,2005,GA,South,3,0,3,2.09861228866811,Georgia
273,2005,IN,Midwest,5,0,5,2.6094379124341005,Indiana
274,2005,MD,South,0,1,1,1.0,Maryland
275,2005,MO,Midwest,1,4,5,2.6094379124341005,Missouri
276,2005,MS,South,1,0,1,1.0,Mississippi
277,2005,NC,South,3,2,5,2.6094379124341005,North Carolina
278,2005,OH,Midwest,1,3,4,2.386294361119891,Ohio
279,2005,OK,South,1,3,4,2.386294361119891,Oklahoma
280,2005,SC,South,2,1,3,2.09861228866811,South Carolina
281,2005,TX,South,11,8,19,3.9444389791664403,Texas
282,2006,AL,South,1,0,1,1.0,Alabama
283,2006,CA,West,0,1,1,1.0,California
284,2006,FL,South,2,2,4,2.386294361119891,Florida
285,2006,IN,Midwest,1,0,1,1.0,Indiana
286,2006,MS,South,1,0,1,1.0,Mississippi
287,2006,MT,West,1,0,1,1.0,Montana
288,2006,NC,South,2,2,4,2.386294361119891,North Carolina
289,2006,NV,West,0,1,1,1.0,Nevada
290,2006,OH,Midwest,4,1,5,2.6094379124341005,Ohio
291,2006,OK,South,3,1,4,2.386294361119891,Oklahoma
292,2006,SC,South,1,0,1,1.0,South Carolina
293,2006,TN,South,1,0,1,1.0,Tennessee
294,2006,TX,South,4,20,24,4.178053830347945,Texas
295,2006,VA,South,3,1,4,2.386294361119891,Virginia
296,2007,AL,South,0,3,3,2.09861228866811,Alabama
297,2007,AZ,West,1,0,1,1.0,Arizona
298,2007,GA,South,0,1,1,1.0,Georgia
299,2007,IN,Midwest,2,0,2,1.6931471805599454,Indiana
300,2007,OH,Midwest,2,0,2,1.6931471805599454,Ohio
301,2007,OK,South,2,1,3,2.09861228866811,Oklahoma
302,2007,SC,South,0,1,1,1.0,South Carolina
303,2007,SD,Midwest,1,0,1,1.0,South Dakota
304,2007,TN,South,2,0,2,1.6931471805599454,Tennessee
305,2007,TX,South,12,14,26,4.258096538021482,Texas
306,2008,FL,South,1,1,2,1.6931471805599454,Florida
307,2008,GA,South,2,1,3,2.09861228866811,Georgia
308,2008,KY,South,1,0,1,1.0,Kentucky
309,2008,MS,South,2,0,2,1.6931471805599454,Mississippi
310,2008,OH,Midwest,1,1,2,1.6931471805599454,Ohio
311,2008,OK,South,2,0,2,1.6931471805599454,Oklahoma
312,2008,SC,South,1,2,3,2.09861228866811,South Carolina
313,2008,TX,South,6,12,18,3.8903717578961645,Texas
314,2008,VA,South,1,3,4,2.386294361119891,Virginia
315,2009,AL,South,4,2,6,2.791759469228055,Alabama
316,2009,FL,South,2,0,2,1.6931471805599454,Florida
317,2009,GA,South,3,0,3,2.09861228866811,Georgia
318,2009,IN,Midwest,1,0,1,1.0,Indiana
319,2009,MO,Midwest,1,0,1,1.0,Missouri
320,2009,OH,Midwest,4,1,5,2.6094379124341005,Ohio
321,2009,OK,South,2,1,3,2.09861228866811,Oklahoma
322,2009,SC,South,1,1,2,1.6931471805599454,South Carolina
323,2009,TN,South,1,1,2,1.6931471805599454,Tennessee
324,2009,TX,South,3,21,24,4.178053830347945,Texas
325,2009,VA,South,1,2,3,2.09861228866811,Virginia
326,2010,AL,South,4,1,5,2.6094379124341005,Alabama
327,2010,AZ,West,0,1,1,1.0,Arizona
328,2010,FL,South,1,0,1,1.0,Florida
329,2010,GA,South,2,0,2,1.6931471805599454,Georgia
330,2010,LA,South,1,0,1,1.0,Louisiana
331,2010,MS,South,3,0,3,2.09861228866811,Mississippi
